USER_ID,item_id,over_all_rating
A6YC7WZUZ8OD3,B000BZZJ00,4
A248ACDH3MVZ58,B000BZZM3Y,5
A3MSOEUQQDVOI2,B000BZZMZW,3
A1LVON7LL2NH6T,B000BZZNHY,2
AYKJHTPCFTRRO,B000BZZNSS,4
A2KF3H5304I4IA,B000BZZOBY,5
A38QLWE2QGWH5E,B000BZZOFU,4
A1FOYZ8S0EW26D,B000BZZONW,5
A3EQ5B9FLQDB9A,B000BZZOOG,5
A198D6RDPBPTMS,B000BZZOPK,5
A5WEDWDTSHIYQ,B000BZZP9A,5
A1PFXCR55U7Z02,B000BZZP9A,5
A306NASGVUDFKF,B000BZZPAE,5
A1NUE57M5BNSYF,B000BZZPCC,5
AYSWV2SRYYP8U,B000BZZPCC,1
A80IGDIQSJQSL,B000BZZPCC,5
A3K37TT4WRRNEY,B000BZZPCC,5
A2VKGIG48R8FET,B000BZZPCC,5
A118UEWI0ST87D,B000BZZPCC,4
A2IIEXPF5XF2YC,B000BZZPCC,5
A14L3VUAWQ2K17,B000BZZPCC,5
AL32GZOYOWSOD,B000BZZPCC,5
A1YY6SOWIGU5YC,B000BZZPCC,5
A1W5SP49KSVJMJ,B000BZZPCC,5
A3HF3K9CKHQBMB,B000BZZPCC,1
A32PG2RX8M3OA,B000BZZPCC,5
A15QQKRNNUBT8E,B000BZZPCC,4
A2TU4B649QRI7L,B000BZZPCC,5
A280SUDO6CO7I,B000BZZPEK,5
A1KDOB4FFBE92B,B000BZZPEK,5
A1IZMY30UH259Z,B000BZZPEK,4
A2ZJPG1H3M8MID,B000BZZPEK,1
A2CJDXJYAQF8WA,B000BZZPEK,5
A4KYOTP5DGB67,B000BZZPEK,5
AIJ5UAGBVPSY2,B000BZZPJ0,4
A210Q388RK7YAK,B000BZZPJK,5
A2RH5NOLJSSH61,B000BZZPJK,4
A2SCZK460W7IMB,B000BZZPNG,5
A2FOAG8B92A99I,B000BZZPNG,5
A3UXX4Q4EHVN3D,B000BZZPPE,5
A60NE2SWOWYKQ,B000BZZPPY,5
A2D5VI45MB68RS,B000BZZPPY,2
AEPKCH1KBSV12,B000BZZPPY,1
APZS743SK4LXA,B000BZZPPY,3
A2A1OEGG0DUM3L,B000BZZPQ8,5
A3F1LSTZSPEK52,B000BZZPQ8,5
ANQFQ1W0JU1Z2,B000BZZPQ8,5
A1XS9CCGD9S1CK,B000BZZPQ8,5
A2KJ5HBS417BAY,B000BZZPQ8,4
A3D5QJKUO939F9,B000BZZPQ8,4
A35LVVC6WCU7F5,B000BZZPQ8,5
AK2R8BR8AY1IE,B000BZZPR2,4
A10WY9HGCEBBE4,B000BZZPR2,5
AENCBUH0MN927,B000BZZPR2,5
A1NF0AFO35QD5U,B000BZZPR2,5
A38YG54NBD5TQ,B000BZZPR2,5
A3R2DRD4654UOJ,B000BZZPRM,5
A303039F43KD4E,B000BZZPTU,4
A1KRPX23BNCA8X,B000BZZPTU,5
A3H8F4WN93NPEB,B000BZZPUY,1
A1VTSVL9RLRQ7C,B000BZZPV8,5
A17UQEAZ20O0VE,B000BZZPV8,5
A1IENCFF3FCQTF,B000BZZQ30,5
A8519ACVCTNG8,B000BZZQ3K,4
